,Material compositions 1,Material compositions 2,Enorm (eV),E_raw (eV),Site2_MeltingT,Site1_MendeleevNumber,Site1_MiracleRadius,GSestFCClatcnt_max_value,Site2_BCCenergy_pa,Site1_BCCfermi,CovalentRadius_max_value,Site2_Density,n_ws^third_min_value,Site1_HHIr,IonicRadii_max_value,BoilingT_max_value,valence_arithmetic_average,Site2_NdUnfilled,Site1_IonicRadii,BCCenergy_pa_composition_average,MiracleRadius_min_value,MeltingT_min_value,NUnfilled_max_value,Site2_Group,Site1_CovalentRadii,Site2_NUnfilled,SpecificHeatCapacity_difference,Site1_Electronegativity,BCCenergy_pa_arithmetic_average
0,Ag,Ag,0.0,1.82445,0.28913681695609383,0.7837837837723546,0.25,0.1795598794448111,0.799972319673145,0.17159548307524738,0.2790697673881835,0.4513715709198619,0.6016949152692773,0.10465116276339614,0.5809523810749654,0.23790501555899385,0.09090909087058312,0.0,0.9384615384851744,0.8446444027687945,0.4242424242204779,0.2891368170243749,0.04545454536579699,0.666666666753762,0.3220338983020614,0.04545454558267025,0.0,0.6038961038806544,0.8446444027687945
1,Ag,Co,-0.090141676,1.734308324,0.44317301786958485,0.7837837837723546,0.25,0.1795598794448111,0.4671246365527523,0.17159548307524738,0.2790697673881835,0.3792790750288629,0.6016949152692773,0.10465116276339614,0.5809523810749654,0.4076786507731631,0.18181818174116623,0.3333333334522445,0.9384615384851744,0.6689271149457467,0.2323232322537356,0.2891368170243749,0.13636363634144924,0.5333333332462381,0.3220338983020614,0.1363636364661362,0.07259953162227593,0.6038961038806544,0.6689271149457467
2,Ag,Cr,0.259138544,2.083588544,0.5622247650523934,0.7837837837723546,0.25,0.1795598794448111,0.26986492914637467,0.17159548307524738,0.2790697673881835,0.2994785763202632,0.6016949152692773,0.10465116276339614,0.5809523810749654,0.35086551282564216,0.4545454545647084,0.5555555553970074,0.9384615384851744,0.5647895694480007,0.28282828285388684,0.2891368170243749,0.2727272726828985,0.3333333332462381,0.3220338983020614,0.2727272727913352,0.08352849339402696,0.6038961038806544,0.5647895694480007
3,Ag,Cu,-0.022200405,1.802249595,0.32463273112624547,0.7837837837723546,0.25,0.1795598794448111,0.7278643193182529,0.17159548307524738,0.2790697673881835,0.3801858987027549,0.6016949152692773,0.10465116276339614,0.5809523810749654,0.4076786507731631,0.09090909087058312,0.0,0.9384615384851744,0.8065770738213445,0.24242424244618876,0.2891368170243749,0.04545454536579699,0.666666666753762,0.3220338983020614,0.04545454558267025,0.05854800942179088,0.6038961038806544,0.8065770738213445
4,Ag,Fe,0.317672341,2.142122341,0.4555983215942158,0.7837837837723546,0.25,0.1795598794448111,0.3651322243780389,0.17159548307524738,0.2790697673881835,0.33275901148572,0.6016949152692773,0.10465116276339614,0.5809523810749654,0.3930315134946617,0.4545454545647084,0.44444444424625923,0.9384615384851744,0.6150831768483459,0.2323232322537356,0.2891368170243749,0.1818181818292754,0.4666666667537619,0.3220338983020614,0.1818181819078692,0.08352849339402696,0.6038961038806544,0.6150831768483459
5,Ag,Mn,0.202185741,2.026635741,0.37122184081205817,0.7837837837723546,0.25,0.1795598794448111,0.3194311705990091,0.17159548307524738,0.2790697673881835,0.31444116975170644,0.6016949152692773,0.10465116276339614,0.5809523810749654,0.23790501555899385,0.5454545454352915,0.5555555553970074,0.9384615384851744,0.5909566300449945,0.30303030299738354,0.2891368170243749,0.22727272719507235,0.39999999999999997,0.3220338983020614,0.22727272734960216,0.09562841536723055,0.6038961038806544,0.5909566300449945
6,Ag,Ni,0.250571478,2.075021478,0.4316145959083736,0.7837837837723546,0.25,0.1795598794448111,0.5875208537099017,0.17159548307524738,0.2790697673881835,0.3796418044495114,0.6016949152692773,0.10465116276339614,0.5809523810749654,0.4045716823498912,0.18181818174116623,0.2222222223014963,0.9384615384851744,0.7324868083870343,0.24242424244618876,0.2891368170243749,0.09090909085362313,0.6,0.3220338983020614,0.09090909102440323,0.08157689305827272,0.6038961038806544,0.7324868083870343
7,Ag,Sc,-0.001431337,1.823018663,0.4564652033576355,0.7837837837723546,0.25,0.3167382085101285,0.5302543595292628,0.17159548307524738,0.5697674417945888,0.11108592144913626,0.5254237289405643,0.10465116276339614,0.5809523810749654,0.38615179777126285,0.18181818174116623,1.0,0.9384615384851744,0.7022546226592922,0.4242424242204779,0.2891368170243749,0.40909090902434775,0.13333333324623806,0.3220338983020614,0.40909090911653406,0.12997658084261426,0.6038961038806544,0.7022546226592922
8,Ag,Ti,0.164968058,1.989418058,0.4931631933559153,0.7837837837723546,0.25,0.1887944885371053,0.41390304451303944,0.17159548307524738,0.4534883720320267,0.1800952164087281,0.6016949152692773,0.10465116276339614,0.5809523810749654,0.4875721261826817,0.27272727261174934,0.8888888888492519,0.9384615384851744,0.6408303179645207,0.40404040395627644,0.2891368170243749,0.3636363636585508,0.19999999999999996,0.3220338983020614,0.3636363636748011,0.11241217803777154,0.6038961038806544,0.6408303179645207
9,Ag,V,0.248163228,2.072613228,0.5630916465573046,0.7837837837723546,0.25,0.1795598794448111,0.31405183663701913,0.17159548307524738,0.3720930233241301,0.2527771479445254,0.6016949152692773,0.10465116276339614,0.5809523810749654,0.5142032844868804,0.3636363636941253,0.7777777776985038,0.9384615384851744,0.5881167667220388,0.323232323261585,0.2891368170243749,0.31818181817072466,0.2666666667537619,0.3220338983020614,0.3181818182330681,0.09914129586311542,0.6038961038806544,0.5881167667220388
