Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
1.0,0.0,0.0,0.7695227765726681,0.07763975155279502,0.9460431654676259,0.8004538005798564,0.07923497267759563,79.99
1.0,0.0,0.0,0.7695227765726681,0.07763975155279502,0.9537512846865365,0.8004538005798564,0.07923497267759563,61.89
0.676791277258567,0.3964941569282137,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7487709567628893,0.7404371584699454,40.27
0.676791277258567,0.3964941569282137,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7487709567628893,1.0,41.05
0.4682242990654206,0.3683917640511965,0.0,0.8508676789587852,0.0,0.9143884892086331,0.8946804487583513,0.9863387978142076,44.3
0.573208722741433,0.31719532554257096,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7966721290810539,0.24863387978142076,47.03
0.7507788161993769,0.2643294379521425,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7487709567628893,1.0,43.7
0.7507788161993769,0.2643294379521425,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7487709567628893,0.07923497267759563,36.45
0.573208722741433,0.31719532554257096,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7966721290810539,0.07923497267759563,45.85
0.8987538940809969,0.0,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7487709567628893,0.07923497267759563,39.29
0.4682242990654206,0.3683917640511965,0.0,0.8508676789587852,0.0,0.9143884892086331,0.8946804487583513,0.24863387978142076,38.07
0.4682242990654206,0.3683917640511965,0.0,0.8508676789587852,0.0,0.9143884892086331,0.8946804487583513,0.07923497267759563,28.02
0.8247663551401869,0.13216471897607124,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7487709567628893,0.7404371584699454,43.01
0.45482866043613707,0.528658875904285,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7966721290810539,0.24863387978142076,42.33
0.632398753894081,0.211463550361714,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7966721290810539,0.07923497267759563,47.81
0.7507788161993769,0.0,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7966721290810539,0.24863387978142076,52.91
0.3763239875389408,0.5826377295492488,0.0,0.8508676789587852,0.0,0.9496402877697842,0.8829572671120637,0.24863387978142076,39.36
0.6915887850467289,0.105731775180857,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7966721290810539,1.0,56.14
0.7507788161993769,0.2643294379521425,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7487709567628893,0.24863387978142076,40.56
0.8987538940809969,0.0,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7487709567628893,0.49453551912568305,42.62
0.8247663551401869,0.13216471897607124,0.0,0.9484815618221258,0.0,0.8905447070914697,0.7487709567628893,0.49453551912568305,41.84
0.3763239875389408,0.5826377295492488,0.0,0.8508676789587852,0.0,0.9496402877697842,0.8829572671120637,0.07923497267759563,28.24
0.3763239875389408,0.5826377295492488,0.0,0.8508676789587852,0.0,0.9496402877697842,0.8829572671120637,0.01092896174863388,8.06
0.3763239875389408,0.5826377295492488,0.0,0.8508676789587852,0.0,0.9496402877697842,0.8829572671120637,0.49453551912568305,44.21
